text,label
I feel burnout from studies,sadness
I'm anxious about exams,fear
I'm proud of my progress,joy
I feel tense and nervous,fear
I am satisfied with my work,joy
I need a break,sadness
My hard work is paying off,joy
I fear I might fail,fear
I feel accomplished,joy
The pressure is too much,sadness
I feel provoked and tense currently,anger
I'm scared of failing this exam right now,fear
I feel stressed and anxious?,sadness
I feel gloomy and sad!,sadness
I am feeling upbeat and positive.,joy
I'm frustrated and enraged,anger
I'm thrilled with my progress right now,joy
I feel balanced and calm these days!,neutral
I feel drained and tired these days,sadness
I'm concerned about my future at the moment!,fear
I'm anxious right now!!,fear
I am annoyed by everything,anger
I'm fine...,neutral
I feel mad and agitated today?,anger
I am thrilled with my progress at the moment?,joy
I'm thrilled with my progress these days,joy
I am concerned about my future,fear
I'm confident and proud currently!,joy
I feel unbothered,neutral
I'm confident and proud right now!!,joy
I can't stand these mistakes at the moment...,anger
I am neither happy nor sad these days...,neutral
I am heartbroken about this situation currently.,sadness
I feel very down today,sadness
I feel composed.,neutral
I'm confident and proud.,joy
I finally accomplished my goal at the moment!,joy
I am anxious right now.,fear
I am scared of failing this exam currently!!,fear
Nothing special is happening at the moment!,neutral
I feel insecure and vulnerable right now,fear
I am enjoying this moment right now?,joy
I'm fine,neutral
I feel composed currently!,neutral
I feel panicked currently!!,fear
I miss my friends and support,sadness
I'm disappointed by my performance today...,sadness
I am frightened about what might happen?,fear
I miss my friends and support!!,sadness
I am furious about this delay today.,anger
I can't tolerate this situation these days,anger
I feel mad and agitated at the moment!,anger
I feel gloomy and sad right now!!,sadness
Everything is going well for me these days,joy
I feel stressed and anxious today...,sadness
I feel panicked at the moment.,fear
I'm frustrated and discouraged...,sadness
I miss my friends and support,sadness
I have no strong feelings!,neutral
I'm disappointed by my performance!!,sadness
I can't stand these mistakes right now,anger
I am tense and jittery at the moment,fear
I finally accomplished my goal right now,joy
I am frustrated and discouraged,sadness
I finally accomplished my goal right now!,joy
I am disappointed with this behavior,anger
I finally accomplished my goal today,joy
I am okay today,neutral
I feel inspired today today.,joy
I feel inspired today these days?,joy
I feel composed these days,neutral
I'm okay today!!,neutral
Everything is usual right now.,neutral
This makes me so angry.,anger
I'm concerned about my future currently!,fear
I am anxious right now currently.,fear
I am okay today,neutral
I can't stand these mistakes at the moment!,anger
Nothing special is happening at the moment!,neutral
I'm disappointed by my performance these days?,sadness
These results make me furious at the moment...,anger
I feel stressed and anxious today...,sadness
I'm uneasy and worried right now!,fear
I am annoyed by everything,anger
I am fine at the moment...,neutral
I'm feeling upbeat and positive...,joy
I am annoyed by everything at the moment?,anger
I can't tolerate this situation...,anger
I feel provoked and tense these days.,anger
I'm confident and proud these days,joy
I'm thrilled with my progress currently,joy
I feel very angry these days,anger
I feel nervous about the results,fear
I can't tolerate this situation,anger
I have no strong feelings,neutral
I feel nervous about the results currently...,fear
I'm okay today,neutral
I feel panicked today.,fear
I feel panicked at the moment.,fear
I am anxious right now.,fear
I am thrilled with my progress.,joy
